Date,Time,Load,Temperature,Wind Speed
2/17/2004,11:00:00 AM,76.75840979,24,5
2/17/2004,12:00:00 PM,69.41896024,25,5
2/17/2004,1:00:00 PM,65.74923547,29,5
2/17/2004,2:00:00 PM,64.52599388,30,6
2/17/2004,3:00:00 PM,61.77370031,32,3
2/17/2004,4:00:00 PM,69.41896024,33,5
2/17/2004,5:00:00 PM,84.70948012,33,6
2/17/2004,6:00:00 PM,94.80122324,32,5
2/17/2004,7:00:00 PM,91.74311927,31,3
2/17/2004,8:00:00 PM,81.65137615,31,5
2/17/2004,9:00:00 PM,70.64220183,30,5
2/17/2004,10:00:00 PM,49.8470948,29,3
2/17/2004,11:00:00 PM,33.33333333,29,0
2/18/2004,12:00:00 AM,23.24159021,27,0
2/18/2004,1:00:00 AM,15.59633028,27,3
2/18/2004,2:00:00 AM,15.29051988,26,0
2/18/2004,3:00:00 AM,14.06727829,26,0
2/18/2004,4:00:00 AM,18.65443425,25,0
2/18/2004,5:00:00 AM,28.74617737,25,0
2/18/2004,6:00:00 AM,54.43425076,24,5
2/18/2004,7:00:00 AM,62.3853211,22,5
2/18/2004,8:00:00 AM,65.13761468,23,3
2/18/2004,9:00:00 AM,63.30275229,27,11
2/18/2004,10:00:00 AM,62.3853211,31,7
2/18/2004,11:00:00 AM,60.55045872,34,13
2/18/2004,12:00:00 PM,55.96330275,34,15
2/18/2004,1:00:00 PM,52.59938838,36,15
2/18/2004,2:00:00 PM,49.8470948,37,16
2/18/2004,3:00:00 PM,48.62385321,38,15
2/18/2004,4:00:00 PM,52.90519878,38,11
2/18/2004,5:00:00 PM,71.25382263,37,10
2/18/2004,6:00:00 PM,86.85015291,35,9
2/18/2004,7:00:00 PM,87.1559633,33,7
2/18/2004,8:00:00 PM,78.89908257,32,0
2/18/2004,9:00:00 PM,66.36085627,28,3
2/18/2004,10:00:00 PM,48.01223242,25,0
2/18/2004,11:00:00 PM,29.66360856,22,0
2/19/2004,12:00:00 AM,21.40672783,21,0
2/19/2004,1:00:00 AM,14.06727829,20,0
2/19/2004,2:00:00 AM,14.06727829,19,0
2/19/2004,3:00:00 AM,14.06727829,19,0
2/19/2004,4:00:00 AM,15.59633028,19,0
2/19/2004,5:00:00 AM,28.74617737,19,0
2/19/2004,6:00:00 AM,51.68195719,17,0
2/19/2004,7:00:00 AM,64.52599388,20,0
2/19/2004,8:00:00 AM,67.27828746,22,0
2/19/2004,9:00:00 AM,69.11314985,24,3
2/19/2004,10:00:00 AM,68.19571865,28,0
2/19/2004,11:00:00 AM,66.97247706,30,0
2/19/2004,12:00:00 PM,61.46788991,34,0
2/19/2004,1:00:00 PM,55.35168196,37,11
2/19/2004,2:00:00 PM,51.98776758,38,6
2/19/2004,3:00:00 PM,53.51681957,41,15
2/19/2004,4:00:00 PM,56.26911315,41,14
2/19/2004,5:00:00 PM,70.94801223,39,7
2/19/2004,6:00:00 PM,88.0733945,38,8
2/19/2004,7:00:00 PM,83.79204893,35,7
2/19/2004,8:00:00 PM,77.37003058,34,3
2/19/2004,9:00:00 PM,62.3853211,28,0
2/19/2004,10:00:00 PM,47.09480122,27,0
2/19/2004,11:00:00 PM,28.74617737,25,0
2/20/2004,12:00:00 AM,18.65443425,24,0
2/20/2004,1:00:00 AM,13.14984709,22,0
2/20/2004,2:00:00 AM,10.39755352,21,0
2/20/2004,3:00:00 AM,11.9266055,21,0
2/20/2004,4:00:00 AM,13.76146789,21,0
2/20/2004,5:00:00 AM,25.99388379,21,0
2/20/2004,6:00:00 AM,47.70642202,20,0
2/20/2004,7:00:00 AM,57.79816514,22,3
2/20/2004,8:00:00 AM,62.0795107,24,0
2/20/2004,9:00:00 AM,61.77370031,27,0
2/20/2004,10:00:00 AM,62.9969419,31,0
2/20/2004,11:00:00 AM,60.24464832,34,3
2/20/2004,12:00:00 PM,56.26911315,36,3
2/20/2004,1:00:00 PM,53.51681957,37,0
2/20/2004,2:00:00 PM,50.1529052,39,0
2/20/2004,3:00:00 PM,50.1529052,39,0
2/20/2004,4:00:00 PM,53.51681957,39,8
2/20/2004,5:00:00 PM,63.91437309,39,7
2/20/2004,6:00:00 PM,76.75840979,37,5
2/20/2004,7:00:00 PM,71.86544343,37,3
2/20/2004,8:00:00 PM,65.74923547,35,0
2/20/2004,9:00:00 PM,55.96330275,34,0
2/20/2004,10:00:00 PM,42.50764526,34,3
2/20/2004,11:00:00 PM,28.44036697,34,5
2/21/2004,12:00:00 AM,20.18348624,35,6
2/21/2004,1:00:00 AM,12.2324159,35,0
2/21/2004,2:00:00 AM,7.645259939,34,3
2/21/2004,3:00:00 AM,3.975535168,35,0
2/21/2004,4:00:00 AM,3.669724771,34,3
2/21/2004,5:00:00 AM,9.785932722,33,3
2/21/2004,6:00:00 AM,14.67889908,33,0
2/21/2004,7:00:00 AM,25.99388379,33,0
2/21/2004,8:00:00 AM,41.89602446,33,5
2/21/2004,9:00:00 AM,48.92966361,34,0
2/21/2004,10:00:00 AM,50.1529052,35,0
2/21/2004,11:00:00 AM,49.23547401,38,5
2/21/2004,12:00:00 PM,43.73088685,41,0
2/21/2004,1:00:00 PM,38.53211009,44,6
2/21/2004,2:00:00 PM,37.3088685,45,3
2/21/2004,3:00:00 PM,37.9204893,47,0
2/21/2004,4:00:00 PM,40.97859327,47,16
2/21/2004,5:00:00 PM,55.04587156,44,13
2/21/2004,6:00:00 PM,66.05504587,41,6
2/21/2004,7:00:00 PM,60.24464832,40,10
2/21/2004,8:00:00 PM,54.74006116,40,11
2/21/2004,9:00:00 PM,48.31804281,39,11
2/21/2004,10:00:00 PM,35.47400612,38,11
2/21/2004,11:00:00 PM,23.24159021,37,15
2/22/2004,12:00:00 AM,11.62079511,37,15
2/22/2004,1:00:00 AM,4.281345566,36,13
2/22/2004,2:00:00 AM,1.834862385,36,14
2/22/2004,3:00:00 AM,1.22324159,35,17
2/22/2004,4:00:00 AM,0,35,13
2/22/2004,5:00:00 AM,3.975535168,35,9
2/22/2004,6:00:00 AM,9.174311927,36,3
2/22/2004,7:00:00 AM,17.12538226,35,5
2/22/2004,8:00:00 AM,27.52293578,36,5
2/22/2004,9:00:00 AM,37.9204893,38,7
2/22/2004,10:00:00 AM,40.97859327,40,11
2/22/2004,11:00:00 AM,43.73088685,41,9
2/22/2004,12:00:00 PM,40.97859327,42,13
2/22/2004,1:00:00 PM,37.6146789,42,10
2/22/2004,2:00:00 PM,35.16819572,42,13
2/22/2004,3:00:00 PM,34.25076453,41,16
2/22/2004,4:00:00 PM,40.36697248,41,14
2/22/2004,5:00:00 PM,57.79816514,39,16
2/22/2004,6:00:00 PM,73.70030581,37,9
2/22/2004,7:00:00 PM,74.00611621,35,6
2/22/2004,8:00:00 PM,65.74923547,35,7
2/22/2004,9:00:00 PM,55.04587156,33,7
2/22/2004,10:00:00 PM,40.97859327,32,6
2/22/2004,11:00:00 PM,23.85321101,30,3
2/23/2004,12:00:00 AM,14.98470948,28,0
2/23/2004,1:00:00 AM,10.70336391,25,0
2/23/2004,2:00:00 AM,8.868501529,24,0
2/23/2004,3:00:00 AM,11.9266055,22,0
2/23/2004,4:00:00 AM,13.14984709,22,0
2/23/2004,5:00:00 AM,23.54740061,21,0
2/23/2004,6:00:00 AM,44.34250765,20,0
2/23/2004,7:00:00 AM,55.65749235,20,0
2/23/2004,8:00:00 AM,55.35168196,23,0
2/23/2004,9:00:00 AM,55.35168196,30,0
2/23/2004,10:00:00 AM,54.12844037,32,0
2/23/2004,11:00:00 AM,51.98776758,35,0
2/23/2004,12:00:00 PM,48.92966361,38,4
2/23/2004,1:00:00 PM,46.17737003,40,8
2/23/2004,2:00:00 PM,41.59021407,42,3
2/23/2004,3:00:00 PM,38.83792049,43,0
2/23/2004,4:00:00 PM,43.73088685,44,0
2/23/2004,5:00:00 PM,60.24464832,44,0
2/23/2004,6:00:00 PM,77.37003058,40,0
2/23/2004,7:00:00 PM,77.06422018,33,0
2/23/2004,8:00:00 PM,70.33639144,31,0
2/23/2004,9:00:00 PM,58.40978593,29,0
2/23/2004,10:00:00 PM,39.75535168,27,0
2/23/2004,11:00:00 PM,24.15902141,25,0
2/24/2004,12:00:00 AM,12.2324159,25,0
2/24/2004,1:00:00 AM,7.339449541,24,0
2/24/2004,2:00:00 AM,5.504587156,24,0
2/24/2004,3:00:00 AM,4.587155963,26,0
2/24/2004,4:00:00 AM,8.256880734,27,3
2/24/2004,5:00:00 AM,19.57186544,29,0
2/24/2004,6:00:00 AM,42.20183486,29,3
2/24/2004,7:00:00 AM,51.37614679,29,0
2/24/2004,8:00:00 AM,56.88073394,30,0
2/24/2004,9:00:00 AM,59.93883792,30,3
2/24/2004,10:00:00 AM,59.32721713,31,6
2/24/2004,11:00:00 AM,59.02140673,32,5
2/24/2004,12:00:00 PM,58.40978593,30,8
2/24/2004,1:00:00 PM,58.71559633,29,3
2/24/2004,2:00:00 PM,55.65749235,29,5
2/24/2004,3:00:00 PM,58.40978593,29,5
2/24/2004,4:00:00 PM,59.93883792,29,0
2/24/2004,5:00:00 PM,73.39449541,29,0
2/24/2004,6:00:00 PM,86.85015291,29,0
2/24/2004,7:00:00 PM,84.70948012,29,0
2/24/2004,8:00:00 PM,76.75840979,28,0
2/24/2004,9:00:00 PM,66.05504587,29,0
2/24/2004,10:00:00 PM,44.95412844,26,0
2/24/2004,11:00:00 PM,28.44036697,24,0
2/25/2004,12:00:00 AM,20.18348624,23,0
2/25/2004,1:00:00 AM,15.29051988,21,0
2/25/2004,2:00:00 AM,14.67889908,22,5
2/25/2004,3:00:00 AM,14.67889908,22,7
2/25/2004,4:00:00 AM,18.65443425,20,3
2/25/2004,5:00:00 AM,31.80428135,17,3
2/25/2004,6:00:00 AM,55.04587156,14,0
2/25/2004,7:00:00 AM,62.0795107,12,0
2/25/2004,8:00:00 AM,65.74923547,19,0
2/25/2004,9:00:00 AM,63.60856269,25,5
2/25/2004,10:00:00 AM,61.77370031,28,13
2/25/2004,11:00:00 AM,59.93883792,30,13
2/25/2004,12:00:00 PM,54.12844037,32,11
2/25/2004,1:00:00 PM,51.37614679,35,9
2/25/2004,2:00:00 PM,49.23547401,36,11
2/25/2004,3:00:00 PM,46.78899083,37,11
2/25/2004,4:00:00 PM,49.8470948,37,15
2/25/2004,5:00:00 PM,64.83180428,37,14
2/25/2004,6:00:00 PM,82.56880734,35,8
2/25/2004,7:00:00 PM,81.03975535,31,0
2/25/2004,8:00:00 PM,75.84097859,26,0
2/25/2004,9:00:00 PM,63.91437309,24,0
2/25/2004,10:00:00 PM,45.25993884,23,0
2/25/2004,11:00:00 PM,26.60550459,20,0
2/26/2004,12:00:00 AM,17.73700306,21,0
2/26/2004,1:00:00 AM,14.67889908,19,0
2/26/2004,2:00:00 AM,11.00917431,19,3
2/26/2004,3:00:00 AM,11.62079511,18,0
2/26/2004,4:00:00 AM,14.37308869,17,0
2/26/2004,5:00:00 AM,28.44036697,16,0
2/26/2004,6:00:00 AM,49.8470948,15,0
2/26/2004,7:00:00 AM,60.55045872,15,0
2/26/2004,8:00:00 AM,60.85626911,20,0
2/26/2004,9:00:00 AM,57.18654434,28,0
2/26/2004,10:00:00 AM,57.49235474,33,13
2/26/2004,11:00:00 AM,55.65749235,33,9
2/26/2004,12:00:00 PM,50.4587156,35,9
2/26/2004,1:00:00 PM,48.01223242,38,10
2/26/2004,2:00:00 PM,46.78899083,39,14
2/26/2004,3:00:00 PM,46.48318043,39,18
2/26/2004,4:00:00 PM,50.4587156,37,14
2/26/2004,5:00:00 PM,64.52599388,36,14
2/26/2004,6:00:00 PM,79.81651376,35,9
2/26/2004,7:00:00 PM,79.81651376,33,7
2/26/2004,8:00:00 PM,73.39449541,31,0
2/26/2004,9:00:00 PM,60.85626911,28,0
2/26/2004,10:00:00 PM,44.64831804,30,8
2/26/2004,11:00:00 PM,26.29969419,29,8
